gm_well_category,gm_gis_dwr_region,date,latitude,longitude,Fac_Conf_type,Fac_Conf_dist,Facility_1km,Facility_3km,Facility_10km,Facility_50km,Precipitation,Temp,WindSpeed,pm2_5_atm,pm10_atm,air_CO,air_NO2,air_Ozone,air_SO2,air_humidity,air_pm1,GW_Change_Storage_mm,GW_Runoff_mm,Soil_Moisture_mm,Precipitation_mm,Evapotranspiration_mm,Snowpack_mm,GW_recharge,texture_description,Ratio_15_Bar_Water_to_Clay_<2mm,Texture_USDA,Silt_Total,Sand_Total,Silt_Coarse,Weight_Percentage_0.1-75mm_75_mm,%_Pass_2_Inch_Sieve,%_Pass_1_&_1/2_Inch_Sieve,%_Pass_1_Inch_Sieve,%_Pass_3/4_Inch_Sieve,%_Pass_3/8_Inch_Sieve,%_Pass_4.76_mm_Sieve,%_Pass_2.00_mm_Sieve,%_Pass_0.42_mm_Sieve,%_Pass_0.074_mm_Sieve,%_Pass_20_Micron_Sieve,%_Pass_5_Micron_Sieve,%_Pass_2_Micron_Sieve,%particles_d_<1mm_<75mm,%particles_d_<0.5mm_<75mm,%particles_d_<0.25mm_<75mm,%particles_d_<0.10mm_<75mm,%particles_d_<0.05mm_<75mm,%particles_d_<60%_<75mm,%particles_d_<50%_<75mm,Gradation_Uniformity,Gradation_Curvature,Weight_%_0.05-2mm_Clay-Free,Weight_%_0.002-0.05mm_Clay-Free,Weight_%_<0.002mm_Clay-Free,Weight_%_0.5-1mm_Clay-Free_<2mm,Weight_%_0.25-0.5mm_Clay-Free_<2mm,Weight_%_0.1-0.25mm_Clay-Free_<2mm,Weight_%_0.05-0.1mm_Clay-Free_<2mm,Weight_%_0.02-0.05mm_Clay-Free_<2mm,Weight_%_0.002-0.02mm_Clay-Free_<2mm,Weight_%_<0.002mm_Clay-Free_<2mm,FE,TDS,MN,NO3N,TCPR123,DCBZ13,NAPH,VC,DCA12,DCBZ14,FC113,XYLENES,DCE11,DCA11,DCE12C,PCE,BTBZT,EDB,BDCME,DBCP,SO4,AS,TCE,BTBZS,DCBZ12,EBZ,TBME,DCPA12,MTBE,STY,PCA,TCA112,BRME,FC12,TCB124,BTBZN,DBCME,CLBZ,CTCL,TCA111,TMB124,PBZN,TCLME,DCE12T,BZME,BZ,FC11,Label_PFHXDA,Label_PFODA,Label_102FTS,Label_ETFOSE,Label_ETFOSA,Label_MEFOSE,Label_MEFOSA
2,6,1567728000,37.625786116,-122.378000777,1,0,247,247,247,247,0.0,65.0,14.32,1.929,2.2315,0.2,9.4,0.025,1.6,62.286,1.019,-9.0,8.0,442.0,5.0,6.0,0.0,-9.0,44,0.47,14,32.4,42.5,19.3,35.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,62.0,38.0,30.0,25.0,93.0,83.0,77.0,65.0,58.0,0.06,0.035,999.9,0.7,57.0,43.0,34.0,13.0,8.0,16.0,10.0,26.0,17.0,34.0,65274766.366238885,1283.3456705434464,683.846450530497,1.4333333333333331,0.0,0.0,0.0,197.94444444444449,0.0191666666666666,0.0,0.0,1999.8658333333333,8.677777777777779,0.5411111111111111,1285.7777777777778,8177.777777777777,0.0,0.0,0.0,0.0,390.117055438174,19.259786769531665,817.7333333333333,0.0,0.0,432.0202702702703,0.0,0.0,290.55797297297295,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,2.011111111111111,0.0,0.0,0.0,0.0,2.844444444444445,42.22222222222222,1598.147,679.3324324324324,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,6,1565654400,37.626675766,-122.397448447,1,0,247,247,247,247,0.0,68.0,12.08,9.78,11.076,0.3,15.8,0.022,1.9,42.789,6.521,-19.0,11.0,455.0,0.0,8.0,0.0,-19.0,44,0.47,14,32.4,42.5,19.3,35.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,62.0,38.0,30.0,25.0,93.0,83.0,77.0,65.0,58.0,0.06,0.035,999.9,0.7,57.0,43.0,34.0,13.0,8.0,16.0,10.0,26.0,17.0,34.0,65274766.366238885,5733.333333333333,683.846450530497,0.2375,0.0,0.03125,0.0217391304347826,1.961111111111111,0.0277777777777777,0.18125,0.0047055555555555,0.0197826086956521,10.434333333333337,0.1428333333333333,41.78944444444445,436.5388888888889,0.051875,0.0,0.0911111111111111,0.0,732.75,11.612,144.17777777777778,0.1,0.03125,0.0108695652173913,0.0455555555555555,0.0277777777777777,0.5445681818181818,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0,2.777777777777778e-05,0.03125,0.0574999999999999,0.1261111111111111,2.327777777777777,0.1,0.0277777777777777,0.03125,0.03125,0.0361111111111111,0.8666666666666666,0.0108695652173913,0.1679999999999999,0.2777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5,1592265600,41.3526437,-122.3396619,13,0,21,21,21,21,0.0,53.0,5.59,0.0445,0.076,0.49,24.3,0.035,0.84,32.425,0.0165,-105.0,0.0,360.0,17.0,122.0,0.0,-105.0,44,8.83,11,25.4,72.3,12.9,73.0,99.0,99.0,98.0,97.0,91.0,85.0,73.0,42.0,24.0,11.0,5.0,2.0,55.0,43.0,37.0,27.0,20.0,1.21,0.74,74.0,0.9,54.0,19.0,2.0,16.0,9.0,15.0,9.0,13.0,13.0,2.0,65274766.366238885,112.33333333333331,683.846450530497,0.3833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0181786472199888,0.0,0.0,0.0,0.0,0.0,0.918762969915038,0.0,0.0,0.0,1.846666666666667,19.259786769531665,0.0,2.803243757200477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.564439356763465,0.0,0.0,0.0,0.0,49.71370420732294,19.385187261854004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,1601337600,33.8444811,-118.3408888,12,0,413,413,413,413,0.0,68.0,5.37,13.008,14.649,0.2,58.9,0.045,0.9,45.581,10.4655,-7.0,8.0,420.0,1.0,0.0,0.0,-7.0,5,1.55,17,12.5,82.6,4.1,78.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,20.0,13.0,8.0,5.0,99.0,84.0,52.0,22.0,17.0,0.3,0.233,36.6,6.7,87.0,13.0,5.0,17.0,33.0,32.0,5.0,4.0,9.0,5.0,119.75,586.6666666666666,137.7,5.821666666666666,0.0,0.064516129032258,0.0883870967741935,0.1025806451612903,0.1232258064516129,0.064516129032258,0.0013474193548387,0.2933333333333333,3.0619354838709683,0.2770967741935484,1.855806451612904,3.065483870967742,0.0819354838709677,0.0,0.1290322580645161,0.0,77.09700000000001,49.88,21.783870967741933,0.2,0.064516129032258,0.0764516129032258,0.1290322580645161,0.064516129032258,0.7129032258064517,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,6.451612903225807e-05,0.064516129032258,0.1354838709677419,0.1290322580645161,0.064516129032258,0.064516129032258,0.0683870967741935,0.0719354838709677,0.935483870967742,0.2754838709677419,0.3064516129032258,0.0858064516129032,0.3193548387096773,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,1601337600,33.844089,-118.3390517,12,0,413,413,413,413,0.0,68.0,5.37,13.008,14.649,0.2,58.9,0.045,0.9,45.581,10.4655,-7.0,8.0,420.0,1.0,0.0,0.0,-7.0,5,1.55,17,12.5,82.6,4.1,78.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,20.0,13.0,8.0,5.0,99.0,84.0,52.0,22.0,17.0,0.3,0.233,36.6,6.7,87.0,13.0,5.0,17.0,33.0,32.0,5.0,4.0,9.0,5.0,119.75,586.6666666666666,137.7,5.821666666666666,0.0,0.064516129032258,0.0883870967741935,0.1025806451612903,0.1232258064516129,0.064516129032258,0.0013474193548387,0.2933333333333333,3.0619354838709683,0.2770967741935484,1.855806451612904,3.065483870967742,0.0819354838709677,0.0,0.1290322580645161,0.0,77.09700000000001,49.88,21.783870967741933,0.2,0.064516129032258,0.0764516129032258,0.1290322580645161,0.064516129032258,0.7129032258064517,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,6.451612903225807e-05,0.064516129032258,0.1354838709677419,0.1290322580645161,0.064516129032258,0.064516129032258,0.0683870967741935,0.0719354838709677,0.935483870967742,0.2754838709677419,0.3064516129032258,0.0858064516129032,0.3193548387096773,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,1601251200,33.8452783,-118.3415441,12,0,413,413,413,413,0.0,69.0,4.47,23.3275,28.0775,0.2,5.1,0.05,0.1,57.377,17.146,-7.0,8.0,420.0,1.0,0.0,0.0,-7.0,5,1.55,17,12.5,82.6,4.1,78.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,20.0,13.0,8.0,5.0,99.0,84.0,52.0,22.0,17.0,0.3,0.233,36.6,6.7,87.0,13.0,5.0,17.0,33.0,32.0,5.0,4.0,9.0,5.0,375.0,892.5,293.5,0.9045,0.0,0.0,0.0,0.03125,0.0957692307692307,0.03125,0.0009485714285714,0.0914285714285714,1.640625,0.4425,4.930624999999999,25.44722222222222,0.0,0.0,0.0625,0.0,179.6625,5.85,36.13312500000001,0.0,0.03125,0.0657692307692307,0.0625,0.03125,1.4065384615384615,0.03125,0.03125,0.258125,0.0,0.0,0.03125,0.0,0.0625,0.03125,0.03125,0.03125,0.0,0.0,0.2425,3.41875,0.0319230769230769,1.953846153846154,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,1606176000,33.7869435,-117.7281976,13,0,448,448,448,448,0.0,56.0,3.36,22.3345,26.238,0.4,33.7,0.044,1.9,51.168,13.369,1.0,2.0,497.0,10.0,7.0,0.0,1.0,18,0.65,13,37.6,54.6,21.5,51.0,97.0,94.0,91.0,88.0,85.0,82.0,78.0,64.0,44.0,19.0,11.0,6.0,73.0,65.0,60.0,49.0,35.0,0.26,0.106,62.9,1.3,45.0,31.0,6.0,11.0,8.0,15.0,19.0,23.0,17.0,8.0,65274766.366238885,890.0,20.0,4.228571428571429,0.201780487804878,0.0125,41.3375,286.7682926829268,35.6219512195122,0.0121951219512195,0.0907894736842105,83.28,1447.680487804878,664.2853658536585,3400.248780487805,765.9314634146341,0.0125,0.0,0.024390243902439,0.0,300.0,9.0,6427.821951219513,1.475,0.0121951219512195,22.329615384615387,0.024390243902439,0.0121951219512195,3.713673469387756,0.0121951219512195,0.0121951219512195,13.402439024390244,0.0121951219512195,1.25e-05,0.0125,2.3325,0.024390243902439,0.0121951219512195,0.0129268292682926,410.9146341463415,14.5475,23.7475,3.258048780487805,28.841463414634145,42.50961538461539,100.0673076923077,0.1219512195121951,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,8,1603929600,33.62739381,-117.8371097,13,0,431,431,431,431,0.0,75.0,2.46,33.9945,42.2725,0.4,48.1,0.067,1.1,43.072,22.377,-5.0,6.0,403.0,2.0,1.0,0.0,-5.0,18,3.17,15,14.6,80.2,8.9,71.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.0,25.0,11.0,7.0,5.0,84.0,63.0,49.0,29.0,20.0,0.43,0.259,31.0,1.8,85.0,15.0,5.0,22.0,14.0,21.0,10.0,9.0,6.0,5.0,100.0,1100.0,20.0,3.6428571428571423,0.0,0.1538461538461538,0.1428571428571428,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.003076923076923,0.25,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.6615384615384615,0.1538461538461538,0.0,0.3076923076923077,0.0,250.0,1.0,0.4692307692307692,0.5,0.1538461538461538,0.1111111111111111,0.3076923076923077,0.1538461538461538,3.466666666666667,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.0001538461538461,0.1538461538461538,0.4153846153846154,0.3076923076923077,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.2846153846153846,0.2615384615384615,0.3076923076923077,0.1538461538461538,0.1427777777777777,0.1111111111111111,1.5384615384615383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,1642032000,32.627223,-117.1000252,6,0,140,140,140,140,0.0,63.7,2.68,5.9190000000000005,6.545999999999999,0.49,24.3,0.019,0.84,24.062,3.8905,-9.0,22.0,679.0,14.0,1.0,0.0,-9.0,44,0.54,23,21.8,70.2,12.7,66.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,32.0,17.0,12.0,8.0,99.0,77.0,51.0,34.0,30.0,0.32,0.234,95.5,2.6,76.0,24.0,9.0,24.0,28.0,19.0,4.0,14.0,10.0,9.0,65274766.366238885,1283.3456705434464,683.846450530497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.34,0.0,0.0,0.0,1.5,0.0,44.4,19.259786769531665,5.9,0.0,0.0,95.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,6.35,166.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,1641945600,32.6271797,-117.101277,6,0,140,140,140,140,0.0,63.7,3.58,3.061,3.423,0.49,24.3,0.031,0.84,21.122,1.9775,-9.0,22.0,679.0,14.0,1.0,0.0,-9.0,44,0.54,23,21.8,70.2,12.7,66.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,32.0,17.0,12.0,8.0,99.0,77.0,51.0,34.0,30.0,0.32,0.234,95.5,2.6,76.0,24.0,9.0,24.0,28.0,19.0,4.0,14.0,10.0,9.0,65274766.366238885,1283.3456705434464,683.846450530497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.32,0.0,0.0,1.8,0.0,0.0,0.0,0.0,38.6,19.259786769531665,68.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475,39.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
